char,dialog,movie
WITCH KING,Send forth all legions  Do not stop the attack until the city is     taken   ,The Return of the King 
SMEAGOL,But the fat Hobbit he knows      Eyes always watching           ,The Two Towers 
GOLLUM,      Then we stabs them out Put out his eyeses and make him crawl           ,The Two Towers 
SMEAGOL,Yes Yes Yes           ,The Two Towers 
GOLLUM,Kill them both           ,The Two Towers 
SMEAGOL,Yes  No No Its too risky Its too risky           ,The Two Towers 
SAM,Where is he Where has he gone Hey Gollum Where are you           ,The Two Towers 
FRODO,Smeagol           ,The Two Towers 
GOLLUM,We could let  do it           ,The Two Towers 
SMEAGOL,Yes She could do it           ,The Two Towers 
GOLLUM,Yes precious she could And then we takes it once theyre dead           ,The Two Towers 
SMEAGOL,Once theyre dead Ssssssssssssssh           ,The Two Towers 
SMEAGOL,Come on Hobbits Long ways to go yet  Smeagol will show you the way           ,The Two Towers 
EOMER,Stay out of the forest Keep away from the trees           ,The Two Towers 
LEGOLAS,Final count42           ,The Two Towers 
GIMLI,Fortytwo Thats not bad for a pointyeared Elvish princeling I myself am sitting pretty on 43     ,The Two Towers 
LEGOLAS, Fortythree           ,The Two Towers 
GIMLI,He was already dead           ,The Two Towers 
WITCH KING,Slay them all ,The Return of the King 
GOTHMOG,What of the wizard ,The Return of the King 
WITCH KING, I will break him  ,The Return of the King 
SOLDIER 1,Where are Theodens riders ,The Return of the King 
SOLDIER 2,Will Rohans army come  Mithrandir ,The Return of the King 
GANDALF,Courage is the best defence that you have now   ,The Return of the King 
GOLLUM,Follow me           ,The Two Towers 
LEGOLAS,He was twitching           ,The Two Towers 
GIMLI,He was twitchingbecause hes got my axe embedded in his nervous system           ,The Two Towers 
MERRY,He doesnt look too happy does he           ,The Two Towers 
PIPPIN,Not too happy at all Merry           ,The Two Towers 
MERRY,Still I suppose the view would be quite nice from up there           ,The Two Towers 
PIPPIN,Oh yes Its a quality establishment I hear the staff are very good           ,The Two Towers 
PIPPIN,What are you doing           ,The Two Towers 
MERRY,Nothing The worlds back to normal thats all           ,The Two Towers 
PIPPIN,No it isnt Im starving           ,The Two Towers 
MERRY,Good luck trying to find something decent around here Probably only dead rats and      mouldy bread     ,The Two Towers 
MERRY,Sarumans storeroom           ,The Two Towers 
PIPPIN,I dont believe it           ,The Two Towers 
MERRY,It cant be           ,The Two Towers 
PIPPIN,lt is           ,The Two Towers 
MERRY,Longbottom Leaf The finest pipeweed in South Farthing           ,The Two Towers 
PIPPIN,Its perfect One barrel eachWait      Do you think we should share it with Treebeard           ,The Two Towers 
MERRY,Share it No No Dead plant and all that Dont think hed understand Could be a distant relative           ,The Two Towers 
PIPPIN,I get it Dont be hasty          ,The Two Towers 
MERRY, Exactly       Barhrum     ,The Two Towers 
FARAMIR,This is the old sewer Runs right under the river through to the edge of the city      Youll find cover in the woods there     ,The Two Towers 
SAM,Captain Faramiryou have shown your quality sir           ,The Two Towers 
SAM,The very highest           ,The Two Towers 
FARAMIR,The Shire must truly be a great realm      Master Gamgeewhere gardeners are held in high honor           ,The Two Towers 
FARAMIR,What road will you take once you reach the woods           ,The Two Towers 
FRODO,Gollum says theres a pathnear Minas Morgul that climbs up into the mountains     ,The Two Towers 
FARAMIR,Cirith Ungol     ,The Two Towers 
FARAMIR,ls that its name           ,The Two Towers 
GOLLUM,No No  Yes           ,The Two Towers 
FARAMIR,Frodothey say a dark terror dwells in the passes above Minas      Morgul You cannot go that way           ,The Two Towers 
GOLLUM,lt is the only way Master says we must go to Mordor so we must try           ,The Two Towers 
FRODO,I must           ,The Two Towers 
FARAMIR, Go Frodo Go with the goodwill of all Men     ,The Two Towers 
FRODO,Thank you           ,The Two Towers 
FARAMIR,May death find you quickly if you bring them to harm           ,The Two Towers 
SAM,Come on keep up           ,The Two Towers 
SAM,Mr Frodo didnt mean for them Rangers to hurt you You know that dont you      He was trying to save you see           ,The Two Towers 
GOLLUM,Save me           ,The Two Towers 
SAM,So theres no hard feelings Forgive and forget           ,The Two Towers 
GOLLUM,No no no hard feelings Gollum Gollum Yes master Nice Hobbits           ,The Two Towers 
SAM,Very decent of you Very decent indeed      Gollum    ,The Two Towers 
MADRIL,Faramir Orcs have taken the eastern shore Their numbers are too great      By nightfall we will be overrun           ,The Two Towers 
SAM,Mr Frodo           ,The Two Towers 
FRODO,Its calling to him Sam His Eye is almost on me            ,The Two Towers 
SAM,Hold on Mr Frodo Youll be all right           ,The Two Towers 
FARAMIR,Take them to my father Tell him Faramir sends a mighty gift      A weapon that will change our fortunes      in this war      ,The Two Towers 
SAM,Do you want to know      what happened to Boromir You want to know why your brother died  He tried to take the Ring from Frodo after swearing an oath to protect him He tried to kill him The Ring drove your brother mad           ,The Two Towers 
SOLDIER,Watch out           ,The Two Towers 
SAM,Mr Frodo           ,The Two Towers 
FRODO,Theyre here           ,The Two Towers 
FRODO,Theyve come           ,The Two Towers 
FARAMIR,Nazgul             ,The Two Towers 
FARAMIR,Stay here Keep out of sight Take cover           ,The Two Towers 
THEODEN,The fortress is taken It is over     ,The Two Towers 
ARAGORN,You said this fortress would never fall while your men defend it      They still defend it They have died defending it           ,The Two Towers 
WOMAN,They are breaking in           ,The Two Towers 
WOMAN,Theyre past the door           ,The Two Towers 
ARAGORN,Is there no other way for the women      and children to get out of the caves     ,The Two Towers 
ARAGORN,Is there no other way           ,The Two Towers 
GAMLING,There is one passage It leads into the mountains But they will not get far      The Urukhai are too many           ,The Two Towers 
ARAGORN, Tell the women and children      to make for the mountain pass And barricade the entrance           ,The Two Towers 
THEODEN,Aragorn Fall back to the Keep Get your men out of there     ,The Two Towers 
ARAGORN,Nan Barad Nan Barad  Haldir nan Barad ,The Two Towers 
GIMLI,What are you doing What are you stopping for       ,The Two Towers 
HALDIR,Nan Barad        ,The Two Towers 
ARAGORN,Haldir       ,The Two Towers 
THEODEN,So much death   What can Men do against such reckless hate           ,The Two Towers 
ARAGORN,Ride out with me Ride out and meet them     ,The Two Towers 
THEODEN,For death and glory           ,The Two Towers 
ARAGORN,For Rohan For your people           ,The Two Towers 
GIMLI,The sun is rising           ,The Two Towers 
GANDALF VOICEOVER,Look to my coming at first light on the fifth day At dawnIook to the east           ,The Two Towers 
THEODEN,YesYesThe horn of Helm Hammerhandshall sound in the Deepone last time           ,The Two Towers 
GIMLI,Yes     ,The Two Towers 
THEODEN,Let this be the hour      when we draw swords together      ,The Two Towers 
THEODEN,Fell deeds awake Now for wrathnow for ruin and a red dawn     ,The Two Towers 
THEODEN,Forth Eorlingas     ,The Two Towers 
ARAGORN,Gandalf           ,The Two Towers 
GANDALF, Theoden King stands alone            ,The Two Towers 
SOLDIER,Brace the gate       ,The Two Towers 
SOLDIER,Hold them       ,The Two Towers 
THEODEN,To the gate Draw your swords       ,The Two Towers 
GAMLING,Make way  We cannot hold much longer       ,The Two Towers 
THEODEN,Hold them       ,The Two Towers 
ARAGORN,How long do you need       ,The Two Towers 
THEODEN,As long as you can give me       ,The Two Towers 
ARAGORN,Gimli       ,The Two Towers 
THEODEN,Timbers Brace the gate       ,The Two Towers 
GIMLI,Come on We can take them        ,The Two Towers 
ARAGORN,Its a long way       ,The Two Towers 
GIMLI,Toss me       ,The Two Towers 
EOMER,Not alone  Rohirrim           ,The Two Towers 
THEODEN,Eomer     ,The Two Towers 
EOMER,To the king           ,The Two Towers 
PIPPIN,Yes           ,The Two Towers 
TREEBEARD,A hit A fine hit           ,The Two Towers 
TREEBEARD,Break the dam  Release the river           ,The Two Towers 
MERRY,Pippin Hold on           ,The Two Towers 
TREEBEARD,Hold on little Hobbits           ,The Two Towers 
SAM,What are you doing            ,The Two Towers 
SAM,Where are you going           ,The Two Towers 
SAM,Its me Its your Sam Dont you know your Sam           ,The Two Towers 
ARAGORN,What       ,The Two Towers 
GIMLI,I cannot jump the distance Youll have to toss me       ,The Two Towers 
GIMLI, Dont tell the Elf       ,The Two Towers 
ARAGORN,Not a word ,The Two Towers 
THEODEN,Shore up the door       ,The Two Towers 
SOLDIER,Make way       ,The Two Towers 
SOLDIER,Follow me to the barricade       ,The Two Towers 
SOLDIER,Watch our backs       ,The Two Towers 
SOLDIER,Throw another one over here    ,The Two Towers 
THEODEN,Higher       ,The Two Towers 
SOLDIER,Hold fast the gate       ,The Two Towers 
THEODEN, Gimli Aragorn Get out of there         ,The Two Towers 
LEGOLAS,Aragorn       ,The Two Towers 
THEODEN,Pull everybody back Pull them back       ,The Two Towers 
GAMLING,Fall back Fall back       ,The Two Towers 
FRODO,I cant do this Sam           ,The Two Towers 
SAM,I know Its all wrong      By rights we shouldnt even be here      But we are Its like in the great stories Mr Frodo The ones that really mattered      Full of darkness and danger they were      And sometimes you didnt want to know the endbecause how could the end be happy       How could the world go back      to the way it was when so much bad had happened           ,The Two Towers 
THEODEN,Victory We have victory           ,The Two Towers 
SAM VOICEOVER,But in the end its only a passing thing this shadow Even darkness must pass      A new day will come And when the sun shines it will shine out the clearer      Those were the stories      that stayed with youthat meant something Even if you were too small      to understand why But I think Mr Frodo I do understand I know now           ,The Two Towers 
SAM,Folk in those storieshad lots of chances of turning back only they didnt      They kept goingbecause they were holding on to something    ,The Two Towers 
FRODO,What are we holding on to Sam           ,The Two Towers 
SAM,That theres some good in this world Mr Frodo And its worth fighting for           ,The Two Towers 
FARAMIR,I think at last we understand one another Frodo Baggins      ,The Two Towers 
MADRIL,You know the laws of our country the laws of your father If you let them go      your life will be forfeit           ,The Two Towers 
FARAMIR,Then it is forfeit Release them     ,The Two Towers 
THEODEN,They have broken through The castle is breached Retreat       ,The Two Towers 
GAMLING,Fall back       ,The Two Towers 
THEODEN,Retreat        ,The Two Towers 
ARAGORN,Hurry Inside Get them inside       ,The Two Towers 
GAMLING,Into the Keep       ,The Two Towers 
TREEBEARD,I will leave you at the western borders of the forest You can make your way north      to your homeland from there       ,The Two Towers 
PIPPIN,Wait Stop Stop Turn around Turn around Take us south       ,The Two Towers 
TREEBEARD,South But that will lead you past lsengard       ,The Two Towers 
PIPPIN,Yes ExactlyIf we go south we can slip      past Saruman unnoticed The closer we are to danger the farther we are from harm      Its the last thing hell expect       ,The Two Towers 
TREEBEARD,That doesnt make sense to me      But thenyou are very small Perhaps youre right South it is then      Hold on little Shirelings I always like going south Somehow it feels like going downhill     ,The Two Towers 
MERRY, Are you mad Well be caught       ,The Two Towers 
PIPPIN,No we wont Not this time       ,The Two Towers 
SOLDIER,Look Osgiliath burns       ,The Two Towers 
SOLDIER,Mordor has come       ,The Two Towers 
FRODO,The Ring will not save Gondor       It has only the power to destroy      PleaseIet me go        ,The Two Towers 
FARAMIR,Hurry       ,The Two Towers 
FRODO,Faramir You must let me go       ,The Two Towers 
TREEBEARD,And those little family of field micethat climb up sometimes and they tickle me awfully        ,The Two Towers 
TREEBEARD,Theyre always trying to get somewhere where they       ,The Two Towers 
TREEBEARD,Many of these trees were my friends Creatures I had known from nut and acorn       ,The Two Towers 
PIPPIN,Im sorry Treebeard       ,The Two Towers 
TREEBEARD,They had voices of their own       ,The Two Towers 
TREEBEARD,Saruman A wizard should know better      ,The Two Towers 
TREEBEARD,There is no curse in ElvishEntish or the tongues of Menfor this treachery       ,The Two Towers 
GIMLI,You could have picked a better spot     ,The Two Towers 
GIMLI,Well lad whatever luck you live by lets hope it lasts the night       ,The Two Towers 
LEGOLAS,Your friends are with you Aragorn       ,The Two Towers 
GIMLI,Lets hope they last the night       ,The Two Towers 
ARAGORN, A      Eruchn dano i faelas a hyn an uben tanatha le faelas      ,The Two Towers 
GIMLI,Whats happening out there       ,The Two Towers 
LEGOLAS,Shall I describe it to you Or would you like me to find you a box        ,The Two Towers 
PIPPIN,Look The trees Theyre moving       ,The Two Towers 
MERRY,Where are they going       ,The Two Towers 
TREEBEARD,They have business with the Orcs My business is with lsengard tonightwith rock and stone       ,The Two Towers 
MERRY,Yes       ,The Two Towers 
TREEBEARD,Come my friends The Ents are going to war It is likelythat we go to our doom      Last marchof the Ents       ,The Two Towers 
THEODEN,So it begins       ,The Two Towers 
ARAGORN,Tangado a chadad ,The Two Towers 
LEGOLAS, Faeg ivarv dn na lanc a      nu ranc ,The Two Towers 
ARAGORN,Leithio i philinn ,The Two Towers 
GIMLI,Did they hit anything     ,The Two Towers 
THEODEN,Give them a volley       ,The Two Towers 
GAMLING,Fire       ,The Two Towers 
OLD MAN,Fire       ,The Two Towers 
ARAGORN,Ribed bant ,The Two Towers 
GIMLI,Send them to me Come on     ,The Two Towers 
ARAGORN,Pendraith      ,The Two Towers 
GIMLI,Good       ,The Two Towers 
ARAGORN,Swords Swords ,The Two Towers 
GIMLI,Legolas Two already       ,The Two Towers 
LEGOLAS,Im on 17       ,The Two Towers 
GIMLI, Ill have no pointyear outscoring me      ,The Two Towers 
LEGOLAS,Nineteen       ,The Two Towers 
PIPPIN,Merry       ,The Two Towers 
TREEBEARD,We have just agreed     ,The Two Towers 
MERRY,Yes       ,The Two Towers 
TREEBEARD,I have told your names to the Entmootand we have agreedyou are not      Orcs     ,The Two Towers 
PIPPIN,Well thats good news ,The Two Towers 
MERRY,And what about Saruman Have you come to a decision about him       ,The Two Towers 
TREEBEARD,Now dont be hasty Master Meriadoc       ,The Two Towers 
MERRY,Hasty Our friends are out there They need our help They cannot fight this war on their own       ,The Two Towers 
TREEBEARD,War Yes It affects us all Tree root and twig      But you must understand young Hobbitit takes a long timeto say anything in Old      Entish and we never say anythingunless it is worth takinga long time to say     ,The Two Towers 
GIMLI,Seventeen Eighteen Nineteen Twenty Twentyone       ,The Two Towers 
ARAGORN,Causeway       ,The Two Towers 
THEODEN,Is this it Is this is all you can conjure      Saruman       ,The Two Towers 
ARAGORN,Togo hon dad Legolas  ,The Two Towers 
ARAGORN,Dago hon Dago hon ,The Two Towers 
THEODEN,Brace the gate       ,The Two Towers 
THEODEN,Hold them Stand firm       ,The Two Towers 
GIMLI,Aragorn       ,The Two Towers 
ARAGORN,Gimli       ,The Two Towers 
ARAGORN,Hado i philinn ,The Two Towers 
ARAGORN,Herio ,The Two Towers 
TREEBEARD,The Ents cannot hold back this storm We must weather such things as we have always done     ,The Two Towers 
MERRY,How can that be your decision        ,The Two Towers 
TREEBEARD,This is not our war     ,The Two Towers 
MERRY, But youre part of this world      Arent you     ,The Two Towers 
MERRY,You must help Please You must do something       ,The Two Towers 
TREEBEARD,You are young and brave Master Merry But your part in this tale is over      Go back to your home     ,The Two Towers 
PIPPIN,Maybe Treebeards right We dont belong here Merry Its too big for us      What can we do in the end Weve got the Shire Maybe we should go home     ,The Two Towers 
MERRY,The fires of lsengard will spreadand the woods of Tuckborough and Buckland will burn      And And all that was once green and good      in this world will be gone There wont be a Shire Pippin       ,The Two Towers 
SOLDIER,Boromir Boromir ,The Two Towers 
BOROMIR,This city was once the jewel of our kingdom A place of light and beauty     and music And so it shall be once more Let the armies of Mordor know this     Never again will the land of my people fall into enemy hands    This city of Osgiliath has been     reclaimed for     Gondor ,The Two Towers 
CROWD,For Gondor  ,The Two Towers 
BOROMIR,For Gondor ,The Two Towers 
CROWD,For Gondor ,The Two Towers 
BOROMIR,For Gondor ,The Two Towers 
FARAMIR,Good speech Nice and short ,The Two Towers 
BOROMIR,Leaves more time for drinking     Break out the ale These men are thirsty     ,The Two Towers 
BOROMIR,Remember today little brother Today life is good ,The Two Towers 
BOROMIR,What ,The Two Towers 
FARAMIR,Hes here ,The Two Towers 
BOROMIR, One moment of peace can he not give us that ,The Two Towers 
DENETHOR,Where is he Where is Gondors finest Wheres my firstborn ,The Two Towers 
BOROMIR,    Father ,The Two Towers 
DENETHOR,They say you vanquished the enemy almost singlehandedly ,The Two Towers 
BOROMIR,They exaggerate The victory belongs to Faramir also  ,The Two Towers 
DENETHOR,But for Faramir this city would still be standing ,The Two Towers 
DENETHOR,Were you not entrusted to protect it ,The Two Towers 
FARAMIR,I would have done but our numbers were too few ,The Two Towers 
DENETHOR,Oh too few You let the enemy walk in and take it on a whim Always you     cast a poor reflection on me ,The Two Towers 
FARAMIR,That is not my intent ,The Two Towers 
BOROMIR,You give him no credit and yet he tries to do your will ,The Two Towers 
BOROMIR,He loves you Father ,The Two Towers 
DENETHOR,Do not trouble me with FaramirI know his uses and they are few     We have more urgent things to speak of Elrond of Rivendell has called a     meeting He will not say why but I have guessed its purpose It is rumored     that the weapon of the enemy has been found   ,The Two Towers 
BOROMIR,The One Ring lsildurs     Bane ,The Two Towers 
DENETHOR,lt has fallen into the hands of     the Elves Everyone will try to claim it Men Dwarves wizards We cannot     let that happen This thing must come to Gondor ,The Two Towers 
BOROMIR, Gondor ,The Two Towers 
DENETHOR, Its dangerous     I know Ever the Ring will seek to corrupt the hearts of lesser Men But     you you are strong    And our need is great It is our blood which is being spilled our people     who are dying Sauron is biding his time Hes massing fresh armies He will     return And when he does we will be powerless to stop him You must go    Bring me back this     mighty gift    ,The Two Towers 
BOROMIR,No My place is here with     my people Not in Rivendell ,The Two Towers 
DENETHOR,Would you deny your own father ,The Two Towers 
FARAMIR,lf there is need to go to Rivendellsend me in his stead ,The Two Towers 
DENETHOR,You Oh I see A chance for Faramir captain of Gondor to show his     quality I think not I trust this mission only to your brother The one who will not     fail me ,The Two Towers 
BOROMIR,Remember today little brother  ,The Two Towers 
SOLDIER,Captain Faramir We     found the third one ,The Two Towers 
FARAMIR,You must come with me Now  ,The Two Towers 
FARAMIR, Down there ,The Two Towers 
FARAMIR,To enter the Forbidden Pool bears the penalty of death    They wait for my command Shall I     shoot ,The Two Towers 
GOLLUM,The rock and pool    Is nice and cool    So juicy sweet    Our only wish    To catch a fish    So juicy sweet ,The Two Towers 
FRODO,Wait This creature is bound to me And I to him He is our guide     PleaseIet me go down to him ,The Two Towers 
FRODO,Smeagol  Master is here     Come Smeagol Trust master Come ,The Two Towers 
GOLLUM, We must go now ,The Two Towers 
FRODO,Smeagol you must trust master Follow me Come on Come Come Smeagol     Nice Smeagol Thats it Come on ,The Two Towers 
FRODO,Dont hurt him Smeagol dont struggle Smeagol listen     to me ,The Two Towers 
ARWEN,May the grace of the Valarprotect you  ,The Two Towers 
ARAGORN,Brego ,The Two Towers 
ELROND,Arwen Tollen i l I chair gwannar     na Valannor Si bado no crar ,The Two Towers 
ARWEN,I have made my choice ,The Two Towers 
ELROND,He is not coming backWhy do you linger herewhen there is no hope ,The Two Towers 
GOLLUM,Master ,The Two Towers 
FARAMIR,Thats enough Where     are you leading them Answer me ,The Two Towers 
GOLLUM,    Smeagol Why does it cry Smeagol ,The Two Towers 
SMEAGOL, Cruel Men hurts us Master     tricksed us ,The Two Towers 
GOLLUM,Of course he did I told you he was tricksy I told you he was false ,The Two Towers 
SMEAGOL,Master is our friend Our friend ,The Two Towers 
GOLLUM,Master betrayed us  ,The Two Towers 
SMEAGOL,No Not its business Leave us alone ,The Two Towers 
GOLLUM,Filthy little     Hobbitses They stole it from us ,The Two Towers 
ARWEN,There is still hope ,The Two Towers 
ELROND,If Aragorn survives this waryou will still be partedIf Sauron is defeatedand Aragorn made kingand all that you hope forcomes trueyou will still have to tastethe bitterness of mortality ,The Two Towers 
ELROND VOICEOVER,Whether by the swordor the slow decay of timeAragorn will dieAnd there will be no comfortfor youno comfort to ease the painof his passingHe will come to deathan image of the splendorof the kings of Menin glory undimmed beforethe breaking of the world,The Two Towers 
ELROND VOICEOVER,But you my daughteryou will linger on in darknessand in doubtas nightfall in winterthat comes without a starHere you will dwellbound to your griefunder the fading trees until all the world is changedand the long years of your lifeare utterly spent ,The Two Towers 
ELROND,ArwenThere is nothing for you hereonly death ,The Two Towers 
ELROND,A im erin veleth ln ,The Two Towers 
ARWEN,Gerich veleth nn ada ,The Two Towers 
GALADRIEL,I amar prestar aen han mathon ne nen han mathon ne chae a han noston     ned wilith                     ,The Two Towers 
FARAMIR,What news ,The Two Towers 
MADRIL,Our scouts report Saruman has attacked Rohan  Theodens people have fled     to Helms Deep But we must look to our own borders Faramir Orcs are on     the move Sauron is marshaling an army Easterlings and Southrons are at the     Black Gate ,The Two Towers 
FARAMIR,How many ,The Two Towers 
MADRIL,Some thousands More come every day ,The Two Towers 
FARAMIR,Whos covering the river to the north ,The Two Towers 
MADRIL,We pulled 500 men at Osgiliath If their city is attacked we wont hold     it ,The Two Towers 
SMEAGOL,No No ,The Two Towers 
FARAMIR,What did they steal ,The Two Towers 
GOLLUM,     My precious  ,The Two Towers 
SAM,We have to get out of here     You go Go now You can do it Use the Ring Mr Frodo Just this once Put     it on Disappear ,The Two Towers 
FRODO, I cant You were right Sam You tried to tell me butIm sorry The Rings taking me Sam If I put it     onhell find me Hell see ,The Two Towers 
SAM,Mr     Frodo ,The Two Towers 
FARAMIR,So this is the answer to all the riddles Here in the     Wild I have youtwo Halflingsand a host of men at my callThe Ring of Power within my     graspA chance for Faramir captain of Gondorto     show his quality ,The Two Towers 
FRODO, No  ,The Two Towers 
SAM,Stop it Leave him alone Dont you understand Hes got to destroy     it Thats where were going into Mordor To the Mountain of Fire  ,The Two Towers 
SOLDIER,Osgiliath is under attack They call for reinforcements ,The Two Towers 
SAM, Please Its such a burden     Will you not help him ,The Two Towers 
SOLDIER,Captain ,The Two Towers 
FARAMIR, Prepare to leave    The Ring will go to Gondor    ,The Two Towers 
ARAGORN, Mae carnen Brego     mellon nn ,The Two Towers 
FARAMIR,    Saruman attacks from lsengard Sauron from Mordor The fight will come to     Men on both fronts Gondor is weak Sauron will strike us soon And he will     strike hard He knows now we do not have the strength to repel him ,The Two Towers 
FARAMIR,My men tell me that you are Orc spies ,The Two Towers 
SAM,Spies Now wait just a minute ,The Two Towers 
FARAMIR,Well if youre not spies then who are you ,The Two Towers 
FARAMIR,Speak ,The Two Towers 
FRODO,We are Hobbits of the Shire Frodo Baggins is my name and this is     Samwise Gamgee ,The Two Towers 
FARAMIR,Your bodyguard ,The Two Towers 
SAM,His gardener ,The Two Towers 
FARAMIR,And where is your skulking friend That gangrel creature He had an illfavored     look ,The Two Towers 
FRODO,There was no other    We set out from Rivendell with seven companions One we lost in Moriatwo     were my kina Dwarf there was also And an Elf and two Men Aragorn     son of Arathorn and Boromir of Gondor ,The Two Towers 
FARAMIR, Youre a friend of Boromir ,The Two Towers 
FRODO,Yes  For my part ,The Two Towers 
WOMAN,Hes alive ,The Two Towers 
GIMLI,Where is he Where is heGet out of the     way Im going to kill himYou are the luckiest the canniest    and the most reckless man     I ever knew Bless you laddie ,The Two Towers 
ARAGORN,Gimli where is the king  ,The Two Towers 
LEGOLAS,Le abdollen You look terrible    ,The Two Towers 
ARAGORN,Hannon le ,The Two Towers 
THEODEN,A great host you say ,The Two Towers 
ARAGORN,All lsengard is emptied ,The Two Towers 
THEODEN,How many ,The Two Towers 
ARAGORN,Ten thousand strong at least ,The Two Towers 
THEODEN,     Ten thousand ,The Two Towers 
ARAGORN,It is an army bred for a single purpose To destroy the world of Men     They will be here by nightfall ,The Two Towers 
THEODEN,Let them come ,The Two Towers 
THEODEN,I want every man and strong     lad able to bear armsto be ready for battle by nightfall    ,The Two Towers 
THEODEN,We will cover the causeway and the gate from above No army has ever     breached the Deeping Wallor set foot inside the Hornburg ,The Two Towers 
FARAMIR,It will grieve you then to     learn that he is dead ,The Two Towers 
FRODO,Dead How When ,The Two Towers 
FARAMIR,As one of his companions Id hoped you would tell me ,The Two Towers 
FRODO,If something has happened to Boromir we would have you tell us ,The Two Towers 
FARAMIR,His horn washed up upon the riverbank about six days past It was     cloven in two But more than this I know it in my heart    He was my brother ,The Two Towers 
GIMLI,This is no rabble of mindless Orcs These are Urukhai Their armour is     thick and their shields broad ,The Two Towers 
THEODEN,I have fought many wars Master Dwarf I know how to defend my own keep ,The Two Towers 
THEODEN,They will break upon this fortress like water on rock    Sarumans     hordes will pillage and burn    Weve seen it before Crops can be resownhomes rebuilt Within these     wallswe will outlast them ,The Two Towers 
ARAGORN,They do not come to destroy Rohans crops or villages They come to     destroy its peopledown to the last child ,The Two Towers 
THEODEN,What would you have me do Look at my men Their courage hangs by a     thread If this is to be our end then I would have them make such an     endas to be worthy of remembrance ,The Two Towers 
ARAGORN,Send out riders my lord You must call for aid  ,The Two Towers 
THEODEN,And who will come Elves Dwarves We are not so lucky in our friends as     you The old alliances are dead ,The Two Towers 
ARAGORN,Gondor will answer ,The Two Towers 
THEODEN,    Gondor Where was Gondor when the Westfold fell Where was Gondor when our     enemies closed in around us Where was Gon No my Lord     Aragornwe are alone Get the women and children     into the caves ,The Two Towers 
GAMLING,We need more time to lay provisions ,The Two Towers 
ARWEN VOICEOVER,The light of the Evenstardoes not wax and waneIt is mine to give to whom I willLike my heartGo to sleep ,The Two Towers 
ARAGORN ,I am asleepThis is a dream ,The Two Towers 
ARWEN,Then it is a good dream Sleep ,The Two Towers 
ARAGORN,Minl pendich nin i aur     hen telitha ,The Two Towers 
GOLLUM,We wants itWe needs itMust have the preciousThey stole it from usSneaky little HobbitsesWicked Tricksy False ,The Two Towers 
SMEAGOL,No Not master  ,The Two Towers 
GOLLUM,Yes precious FalseThey will cheat you hurt you lie  ,The Two Towers 
SMEAGOL,Masters my friend ,The Two Towers 
GOLLUM,You dont have any friendsNobody likes you ,The Two Towers 
SMEAGOL,Not listening Im not listening ,The Two Towers 
GOLLUM,Youre a liar and a thief  ,The Two Towers 
SMEAGOL,No ,The Two Towers 
THEODEN,There is no time War is upon us Secure the gate ,The Two Towers 
TREEBEARD,We Ents have not troubledabout the wars of Men and     wizardsfor a very long time But now something is about to     happenthat has not happenedfor an ageEntmoot ,The Two Towers 
MERRY,Whats that ,The Two Towers 
TREEBEARD,Tis a gathering ,The Two Towers 
MERRY,A     gathering of what ,The Two Towers 
TREEBEARD,Beech Oak Chestnut Ash Good Good Good Many have comeNow we must decide if the Entswill     go to war ,The Two Towers 
ARWEN, i vethed n i onnad Boe bedich go Frodo Han bd ln ,The Two Towers 
ARAGORN,Dolen i vd o nin ,The Two Towers 
ARWEN,Si peliannen i vd na dail ln Si boe dhannathach ,The Two Towers 
ARAGORN,Arwen ,The Two Towers 
ARWEN,Ae esteliach nad     estelio han Estelio ammen ,The Two Towers 
EOWYN,Where is sheThe woman who gave you that jewel ,The Two Towers 
ELROND,Our time here is endingArwens time is endingLet her goLet her take the ship into the westLet her bear away her love for youto the Undying LandsThere it will be ever green ,The Two Towers 
ARAGORN,But never more than memory ,The Two Towers 
ELROND,I will not leave my daughter hereto die ,The Two Towers 
ARAGORN,She stays because she still has hope ,The Two Towers 
ELROND,She stays for youShe belongs with her people ,The Two Towers 
ARWEN,Nach gwannatha sin ,The Two Towers 
ARWEN,Ma nathach hi gwannathach or minuial archened  ,The Two Towers 
GOLLUM,Murderer ,The Two Towers 
SMEAGOL,Go away ,The Two Towers 
GOLLUM,Go away ,The Two Towers 
SMEAGOL,I hate youI hate you ,The Two Towers 
GOLLUM,Where would you be without meGollum GollumI saved usIt was me We survived because of me ,The Two Towers 
SMEAGOL,Not anymore ,The Two Towers 
GOLLUM,What did you say ,The Two Towers 
SMEAGOL,Master looks after us nowWe dont need you ,The Two Towers 
GOLLUM,What ,The Two Towers 
SMEAGOL,Leave nowand never come back ,The Two Towers 
GOLLUM,No ,The Two Towers 
SMEAGOL,Leave now and never come back  ,The Two Towers 
SMEAGOL,Leave now and never come back ,The Two Towers 
SARUMAN,Gandalf the WhiteGandalf the FoolDoes he seek to humble mewith his newfound piety ,The Two Towers 
GRIMA,There were threewho followed the wizardAn Elf a Dwarf and a Man ,The Two Towers 
SARUMAN,You stink of horseThe Manwas he from Gondor ,The Two Towers 
GRIMA,No from the NorthOne of the Dunedain RangersI thought he wasHis cloth was poorAnd yet he bore a strange ringTwo serpents with emerald eyes One devouringthe other crowned with golden flowers ,The Two Towers 
